id,title,description,video_url,download_url,google_drive_url,thumbnail_url,duration,release_date,genre,language,quality,required_packages,created_at,updated_at,views,is_active,is_adult,adult_category,rating,cast_list,director,search_keywords,content_purchase_enabled,content_price,content_price_days,content_purchase_packages,video_embed_code
0265561c-7f4b-4c58-9605-27225b4bdce0,Mission: Impossible  The Final Reckoning,,https://iframe.mediadelivery.net/play/155292/7320395d-3702-4ba3-907e-c9cd07741956,,,https://swahiliplay.com/wp-content/uploads/2026/01/MV5BN2ZhMGU1MTItMzBkMi00MjZmLWI2MDQtMWE1ODNjMWFhZjY4XkEyXkFqcGc@._V1_QL75_UX154_-154x169.jpg,,,,,,,2026-06-26 01:16:43.832+00,2026-06-26 01:16:43.832+00,1,true,,,,,,,,,,,
02ffbd0f-8761-4ba0-afe5-9ffebaafaf8f,Survival,,https://iframe.mediadelivery.net/play/155292/23aaa049-52d5-4fa7-afd0-ef8a3051b400,,,https://swahiliplay.com/wp-content/uploads/2024/12/MV5BNmI1MTBjMDItZGI4Ni00ZjYxLThlNzMtNDE4MThiYjY2MGIzXkEyXkFqcGc@._V1_FMjpg_UX1000_-300x169.jpg,,,,,,,2026-06-26 01:16:43.829+00,2026-06-26 01:16:43.829+00,0,true,,,,,,,,,,,
037d2187-ed96-4399-a292-6bbee859fdcc,Cleaner,,"https://iframe.mediadelivery.net/play/155292/ba65a501-b1da-4dca-acad-5202a798c971,https://iframe.mediadelivery.net/play/155292/27f4dbce-9a5e-43f0-a934-ee3835e7eb77",,,https://swahiliplay.com/wp-content/uploads/2025/10/images-190x169.jpg,,,,,,,2026-06-26 01:16:43.84+00,2026-06-26 01:16:43.84+00,1,true,,,,,,,,,,,
06cfeb69-d3ca-471b-9bc3-e5296973eedd,Deathstalker,,https://iframe.mediadelivery.net/play/155292/c296f5bb-c5ec-47bb-9941-0550f422d3fa,,,https://swahiliplay.com/wp-content/uploads/2024/08/images-2024-08-21T083026.171-300x169.jpeg,,,,,,,2026-06-26 01:16:43.826+00,2026-06-26 01:16:43.826+00,0,true,,,,,,,,,,,
074bff9e-7146-4ee8-9d57-5bfa93d0a84a,7up,,https://iframe.mediadelivery.net/play/155292/0b964677-03cb-4808-8b3f-ca790e358a2f,,,https://swahiliplay.com/wp-content/uploads/2024/08/images-2024-08-23T073316.058-300x169.jpeg,,,,,,,2026-06-26 01:16:43.848+00,2026-06-26 01:16:43.848+00,0,true,,,,,,,,,,,
07ca9cb5-7600-4443-913e-3abc513040e5,Hunt the wicked,,https://iframe.mediadelivery.net/play/155292/547b860f-d332-4245-9586-847acc5e28ef,,,https://swahiliplay.com/wp-content/uploads/2025/11/MV5BNmYzNjAyMTAtMGE5MC00MzliLTkyODktOWU1ZTI1MjRjMzA4XkEyXkFqcGc@._V1_-300x169.jpg,,,,,,,2026-06-26 01:16:43.838+00,2026-06-26 01:16:43.838+00,0,true,,,,,,,,,,,
0a34f4a5-ae2b-425d-aa7f-28748d7ec0df,Moana 2,,https://iframe.mediadelivery.net/play/155292/c010fee3-8726-4c24-a035-c1637966b6e1,,,https://swahiliplay.com/wp-content/uploads/2025/01/MV5BZWVjNzUyYzUtNDA3Ny00N2Q3LTg4MGMtZDBkMDFjOTRlNDBhXkEyXkFqcGc@._V1_-300x169.jpg,,,,,,,2026-06-26 01:16:43.87+00,2026-06-26 01:16:43.87+00,22,true,,,,,,,,,,,
0a4f80f0-2a06-412c-853c-2dc7c0d9d251,Bribe Hard,,"https://iframe.mediadelivery.net/play/155292/3263271a-44b2-44dd-b2c0-6de64d2eebe3,https://iframe.mediadelivery.net/play/155292/e22662e5-2c25-44ef-9c15-5f4cdbce3ab0",,,https://swahiliplay.com/wp-content/uploads/2025/11/MV5BOGM5MzA3MDAtYmEwMi00ZDNiLTg4MDgtMTZjOTc0ZGMyNTIwXkEyXkFqcGc@._V1_-300x169.jpg,,,,,,,2026-06-26 01:05:01.982+00,2026-06-26 01:05:01.982+00,2,true,,,,,,,,,,,
0b83755c-c80c-48af-9240-370299e0bc9f,Alarum,,https://iframe.mediadelivery.net/play/155292/d601d255-1695-4af0-8ab9-921d52571e96,,,https://swahiliplay.com/wp-content/uploads/2024/08/Gangs-of-Godavari_1693828891-300x169.jpg,,,,,,,2026-06-26 01:16:43.848+00,2026-06-26 01:16:43.848+00,4,true,,,,,,,,,,,
0c98e788-2bd1-469f-b0f8-026ee043ef7f,Holiday Monday,,https://iframe.mediadelivery.net/play/155292/c4d5f4bf-3fd2-40d7-8790-e256081699ec,,,https://swahiliplay.com/wp-content/uploads/2024/08/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_-300x169.jpg,,,,,,,2026-06-26 01:16:43.85+00,2026-06-26 01:16:43.85+00,25,true,,,,,,,,,,,
